auc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.6643749999999999,0.7606249999999999,0.979375,0.9725,0.7899999999999999,0.833375
clipdet_latent10k_plus_local,0.6696874999999999,0.598125,0.899375,0.810625,0.69625,0.7348125
clipdet_latent10k_plus_fusiongl,0.7037500000000001,0.593125,0.9475,0.9412499999999999,0.706875,0.7785
clipdet_latent10k_plus,0.7037500000000001,0.593125,0.9475,0.9412499999999999,0.706875,0.7785
Corvi2023,0.8912500000000001,1.0,0.9568749999999999,0.68625,1.0,0.906875
clipdet_latent10k_plus_fusion_soft_or,0.680625,0.700625,0.950625,0.9493750000000001,0.7662499999999999,0.8094999999999999
clipdet_latent10k_plus_fusion_weighted,0.65125,0.73875,0.961875,0.956875,0.78625,0.8190000000000002
fusion,0.858125,0.98,0.9781249999999999,0.941875,0.983125,0.94825
