auc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.6643749999999999,0.7606249999999999,0.979375,0.9725,0.7899999999999999,0.833375
clipdet_latent10k_plus_local,0.6484374999999999,0.585625,0.8743749999999999,0.860625,0.635625,0.7209375
clipdet_latent10k_plus_fusiongl,0.663125,0.585625,0.90375,0.911875,0.6481250000000001,0.7425
clipdet_latent10k_plus,0.663125,0.585625,0.90375,0.911875,0.6481250000000001,0.7425
Corvi2023,0.8912500000000001,1.0,0.9568749999999999,0.68625,1.0,0.906875
clipdet_latent10k_plus_fusion_soft_or,0.6824999999999999,0.7093750000000001,0.9537500000000001,0.9524999999999999,0.753125,0.8102499999999999
clipdet_latent10k_plus_fusion_weighted,0.6487499999999999,0.75,0.963125,0.96125,0.78375,0.8213750000000001
fusion,0.82375,0.97375,0.9556250000000001,0.9125000000000001,0.9750000000000001,0.928125
