acc,biggan,dalle3,diffusionprojectedGAN,proGAN,stable_diffusion_1,AVG
clipdet_latent10k_plus_global,0.575,0.55,0.9,0.9,0.625,0.71
clipdet_latent10k_plus_local,0.59375,0.6187499999999999,0.64375,0.64375,0.64375,0.6287499999999999
clipdet_latent10k_plus_fusiongl,0.59375,0.6187499999999999,0.64375,0.64375,0.64375,0.6287499999999999
clipdet_latent10k_plus,0.59375,0.6187499999999999,0.64375,0.64375,0.64375,0.6287499999999999
Corvi2023,0.525,1.0,0.65,0.5,1.0,0.735
clipdet_latent10k_plus_fusion_soft_or,0.60625,0.60625,0.60625,0.60625,0.60625,0.60625
clipdet_latent10k_plus_fusion_weighted,0.55,0.6,0.875,0.875,0.675,0.7150000000000001
fusion,0.625,0.625,0.625,0.625,0.625,0.625
